Comment:,"Melting MIX1G pyroxenite, full thermal exchange with peridotite, Tp=1300_C., P in (kb)",,,,,
P,F,Kr,DU,DTh,DRa,DPa
19.7,0,1,0.017645377,0.013065603,0.00001,0.00001
19.6,0.00069499,1,0.017645377,0.013065603,0.00001,0.00001
19.5,0.001936129,1,0.017645377,0.013065603,0.00001,0.00001
19.4,0.003180725,1,0.017645377,0.013065603,0.00001,0.00001
19.255,0.004990478,1,0.017645377,0.013065603,0.00001,0.00001
19.2,0.005679669,1,0.017684058,0.013129167,0.00001,0.00001
19.1,0.006935386,1,0.017742527,0.013225686,0.00001,0.00001
19,0.008194579,1,0.017793581,0.013309729,0.00001,0.00001
18.9,0.00945705,1,0.017805846,0.013326932,0.00001,0.00001
18.8,0.010723166,1,0.01784265,0.013384215,0.00001,0.00001
18.7,0.011992943,1,0.017879948,0.013441432,0.00001,0.00001
18.6,0.013266393,1,0.017917745,0.013498586,0.00001,0.00001
18.5,0.01454353,1,0.017982906,0.01360451,0.00001,0.00001
18.4,0.015824363,1,0.017994847,0.013612711,0.00001,0.00001
18.3,0.017108905,1,0.01803416,0.013669687,0.00001,0.00001
18.2,0.018397165,1,0.018073985,0.013726609,0.00001,0.00001
18.1,0.019689154,1,0.018119632,0.013798024,0.00001,0.00001
18,0.020984881,1,0.01815519,0.013840299,0.00001,0.00001
17.9,0.022284355,1,0.01820424,0.013910141,0.00001,0.00001
17.8,0.023587587,1,0.01823849,0.0139538,0.00001,0.00001
17.7,0.024894586,1,0.018280937,0.014010486,0.00001,0.00001
17.6,0.026205362,1,0.01832392,0.014067131,0.00001,0.00001
17.5,0.027519923,1,0.018351016,0.014099982,0.00001,0.00001
17.4,0.028838279,1,0.01841151,0.014180309,0.00001,0.00001
17.3,0.030160439,1,0.018456127,0.014236848,0.00001,0.00001
17.2,0.031486414,1,0.018501297,0.014293356,0.00001,0.00001
17.1,0.032816211,1,0.018547024,0.014349836,0.00001,0.00001
17,0.034149841,1,0.0185733,0.014373475,0.00001,0.00001
16.9,0.035487312,1,0.01864017,0.01446272,0.00001,0.00001
16.8,0.036828635,1,0.018687598,0.01451913,0.00001,0.00001
16.7,0.038173818,1,0.018735603,0.014575522,0.00001,0.00001
16.6,0.039522871,1,0.018784188,0.014631897,0.00001,0.00001
16.5,0.040875803,1,0.018841599,0.014691,0.00001,0.00001
16.4,0.042232624,1,0.018883122,0.014744611,0.00001,0.00001
16.3,0.043593342,1,0.018933481,0.014800954,0.00001,0.00001
16.2,0.044957968,1,0.018984441,0.014857291,0.00001,0.00001
16.1,0.046326511,1,0.019036335,0.014920618,0.00001,0.00001
16,0.047698981,1,0.019089631,0.014969837,0.00001,0.00001
15.9,0.049075385,1,0.019094571,0.014969376,0.00001,0.00001
15.8,0.050455736,1,0.019106723,0.014968895,0.00001,0.00001
15.7,0.05184004,1,0.019119924,0.014968808,0.00001,0.00001
15.6,0.053228309,1,0.019133062,0.014968671,0.00001,0.00001
15.5,0.054620552,1,0.01914465,0.014968316,0.00001,0.00001
15.4,0.056016778,1,0.019159146,0.014968243,0.00001,0.00001
15.3,0.057416996,1,0.019172093,0.014967952,0.00001,0.00001
15.2,0.058821217,1,0.019184975,0.014967609,0.00001,0.00001
15.1,0.06022945,1,0.019197794,0.014967215,0.00001,0.00001
15,0.061641704,1,0.01921042,0.014966366,0.00001,0.00001
14.9,0.063057989,1,0.019223238,0.014966269,0.00001,0.00001
14.8,0.064478315,1,0.019235864,0.014965718,0.00001,0.00001
14.7,0.065902692,1,0.019248425,0.014965113,0.00001,0.00001
14.6,0.067331128,1,0.019260922,0.014964455,0.00001,0.00001
14.5,0.068763634,1,0.019276158,0.014963452,0.00001,0.00001
14.4,0.07020022,1,0.01928572,0.01496298,0.00001,0.00001
14.3,0.071640894,1,0.019298023,0.014962161,0.00001,0.00001
14.2,0.073085667,1,0.01931026,0.014961288,0.00001,0.00001
14.1,0.074534548,1,0.019322431,0.014960361,0.00001,0.00001
14,0.075987548,1,0.019332256,0.014959358,0.00001,0.00001
